93,Afghanistan,0.1704
9375,Afghanistan Cellular+AC0-AT,0.1704
9370,Afghanistan Cellular+AC0-AWCC,0.12495
9376,Afghanistan Cellular+AC0-Areeba,0.1008
9377,Afghanistan Cellular+AC0-Areeba,0.1008
9378,Afghanistan Cellular+AC0-Etisalat,0.11393
937,Afghanistan Cellular+AC0-Others,0.126
9372,Afghanistan Cellular+AC0-Roshan,0.13125
9379,Afghanistan Cellular+AC0-Roshan,0.13125
355,Albania,0.10595
35568,Albania Cellular+AC0-AMC,0.22586
35567,Albania Cellular+AC0-Eagle,0.2939
35566,Albania Cellular+AC0-Plus,0.28655
35569,Albania Cellular+AC0-Vodafone,0.13682
35536023,+ACI-Albania,AMC+ACI-,0.17455
35536043,+ACI-Albania,AMC+ACI-,0.17455
35536063,+ACI-Albania,AMC+ACI-,0.17455
35536073,+ACI-Albania,AMC+ACI-,0.17455
35536090,+ACI-Albania,AMC+ACI-,0.17455
35536150,+ACI-Albania,AMC+ACI-,0.17455
35536240,+ACI-Albania,AMC+ACI-,0.17455
35536290,+ACI-Albania,AMC+ACI-,0.17455
35536340,+ACI-Albania,AMC+ACI-,0.17455
35536380,+ACI-Albania,AMC+ACI-,0.17455
35536440,+ACI-Albania,AMC+ACI-,0.17455
35536480,+ACI-Albania,AMC+ACI-,0.17455
35536540,+ACI-Albania,AMC+ACI-,0.17455
35536580,+ACI-Albania,AMC+ACI-,0.17455
35536640,+ACI-Albania,AMC+ACI-,0.17455
35536670,+ACI-Albania,AMC+ACI-,0.17455
35536740,+ACI-Albania,AMC+ACI-,0.17455
35536770,+ACI-Albania,AMC+ACI-,0.17455
35536840,+ACI-Albania,AMC+ACI-,0.17455
35536890,+ACI-Albania,AMC+ACI-,0.17455
35536923,+ACI-Albania,AMC+ACI-,0.17455
35536993,+ACI-Albania,AMC+ACI-,0.17455
35537140,+ACI-Albania,AMC+ACI-,0.17455
35537141,+ACI-Albania,AMC+ACI-,0.17455
35537223,+ACI-Albania,AMC+ACI-,0.17455
35537263,+ACI-Albania,AMC+ACI-,0.17455
35537283,+ACI-Albania,AMC+ACI-,0.17455
35537293,+ACI-Albania,AMC+ACI-,0.17455
35537340,+ACI-Albania,AMC+ACI-,0.17455
35537370,+ACI-Albania,AMC+ACI-,0.17455
35537393,+ACI-Albania,AMC+ACI-,0.17455
35537450,+ACI-Albania,AMC+ACI-,0.17455
35537490,+ACI-Albania,AMC+ACI-,0.17455
35537494,+ACI-Albania,AMC+ACI-,0.17455
35537523,+ACI-Albania,AMC+ACI-,0.17455
35537563,+ACI-Albania,AMC+ACI-,0.17455
35537590,+ACI-Albania,AMC+ACI-,0.17455
35537623,+ACI-Albania,AMC+ACI-,0.17455
35537680,+ACI-Albania,AMC+ACI-,0.17455
35537740,+ACI-Albania,AMC+ACI-,0.17455
35537773,+ACI-Albania,AMC+ACI-,0.17455
35537790,+ACI-Albania,AMC+ACI-,0.17455
35537823,+ACI-Albania,AMC+ACI-,0.17455
35537843,+ACI-Albania,AMC+ACI-,0.17455
35537853,+ACI-Albania,AMC+ACI-,0.17455
35537870,+ACI-Albania,AMC+ACI-,0.17455
35537890,+ACI-Albania,AMC+ACI-,0.17455
35538150,+ACI-Albania,AMC+ACI-,0.17455
35538151,+ACI-Albania,AMC+ACI-,0.17455
35538152,+ACI-Albania,AMC+ACI-,0.17455
35538240,+ACI-Albania,AMC+ACI-,0.17455
35538241,+ACI-Albania,AMC+ACI-,0.17455
35538350,+ACI-Albania,AMC+ACI-,0.17455
35538423,+ACI-Albania,AMC+ACI-,0.17455
35538470,+ACI-Albania,AMC+ACI-,0.17455
35538523,+ACI-Albania,AMC+ACI-,0.17455
35538593,+ACI-Albania,AMC+ACI-,0.17455
35538623,+ACI-Albania,AMC+ACI-,0.17455
35538650,+ACI-Albania,AMC+ACI-,0.17455
35538680,+ACI-Albania,AMC+ACI-,0.17455
35538693,+ACI-Albania,AMC+ACI-,0.17455
35538725,+ACI-Albania,AMC+ACI-,0.17455
35538790,+ACI-Albania,AMC+ACI-,0.17455
35538850,+ACI-Albania,AMC+ACI-,0.17455
35538923,+ACI-Albania,AMC+ACI-,0.17455
35538940,+ACI-Albania,AMC+ACI-,0.17455
35538980,+ACI-Albania,AMC+ACI-,0.17455
35539150,+ACI-Albania,AMC+ACI-,0.17455
35539151,+ACI-Albania,AMC+ACI-,0.17455
35539240,+ACI-Albania,AMC+ACI-,0.17455
35539241,+ACI-Albania,AMC+ACI-,0.17455
35539360,+ACI-Albania,AMC+ACI-,0.17455
35539361,+ACI-Albania,AMC+ACI-,0.17455
35539450,+ACI-Albania,AMC+ACI-,0.17455
35539560,+ACI-Albania,AMC+ACI-,0.17455
35539640,+ACI-Albania,AMC+ACI-,0.17455
35539690,+ACI-Albania,AMC+ACI-,0.17455
35539740,+ACI-Albania,AMC+ACI-,0.17455
35539790,+ACI-Albania,AMC+ACI-,0.17455
35539823,+ACI-Albania,AMC+ACI-,0.17455
35539850,+ACI-Albania,AMC+ACI-,0.17455
35539880,+ACI-Albania,AMC+ACI-,0.17455
3554630,+ACI-Albania,AMC+ACI-,0.17455
3554631,+ACI-Albania,AMC+ACI-,0.17455
3554632,+ACI-Albania,AMC+ACI-,0.17455
3554633,+ACI-Albania,AMC+ACI-,0.17455
35547210,+ACI-Albania,AMC+ACI-,0.17455
35547425,+ACI-Albania,AMC+ACI-,0.17455
35547550,+ACI-Albania,AMC+ACI-,0.17455
35547700,+ACI-Albania,AMC+ACI-,0.17455
35547870,+ACI-Albania,AMC+ACI-,0.17455
35547950,+ACI-Albania,AMC+ACI-,0.17455
35548270,+ACI-Albania,AMC+ACI-,0.17455
35548271,+ACI-Albania,AMC+ACI-,0.17455
35548272,+ACI-Albania,AMC+ACI-,0.17455
35548570,+ACI-Albania,AMC+ACI-,0.17455
35548660,+ACI-Albania,AMC+ACI-,0.17455
35548750,+ACI-Albania,AMC+ACI-,0.17455
35548855,+ACI-Albania,AMC+ACI-,0.17455
35548935,+ACI-Albania,AMC+ACI-,0.17455
35548936,+ACI-Albania,AMC+ACI-,0.17455
35549250,+ACI-Albania,AMC+ACI-,0.17455
35549440,+ACI-Albania,AMC+ACI-,0.17455
35549560,+ACI-Albania,AMC+ACI-,0.17455
35549730,+ACI-Albania,AMC+ACI-,0.17455
35549830,+ACI-Albania,AMC+ACI-,0.17455
35549930,+ACI-Albania,AMC+ACI-,0.17455
3555114,+ACI-Albania,AMC+ACI-,0.17455
35551240,+ACI-Albania,AMC+ACI-,0.17455
35551241,+ACI-Albania,AMC+ACI-,0.17455
35551360,+ACI-Albania,AMC+ACI-,0.17455
35551361,+ACI-Albania,AMC+ACI-,0.17455
35551460,+ACI-Albania,AMC+ACI-,0.17455
35551461,+ACI-Albania,AMC+ACI-,0.17455
3555263,+ACI-Albania,AMC+ACI-,0.17455
3555264,+ACI-Albania,AMC+ACI-,0.17455
3555370,+ACI-Albania,AMC+ACI-,0.17455
3555490,+ACI-Albania,AMC+ACI-,0.17455
3555491,+ACI-Albania,AMC+ACI-,0.17455
3555540,+ACI-Albania,AMC+ACI-,0.17455
35556150,+ACI-Albania,AMC+ACI-,0.17455
35556240,+ACI-Albania,AMC+ACI-,0.17455
35556293,+ACI-Albania,AMC+ACI-,0.17455
35556340,+ACI-Albania,AMC+ACI-,0.17455
35556445,+ACI-Albania,AMC+ACI-,0.17455
35556465,+ACI-Albania,AMC+ACI-,0.17455
35556550,+ACI-Albania,AMC+ACI-,0.17455
35556583,+ACI-Albania,AMC+ACI-,0.17455
35557043,+ACI-Albania,AMC+ACI-,0.17455
35557070,+ACI-Albania,AMC+ACI-,0.17455
35557094,+ACI-Albania,AMC+ACI-,0.17455
35557180,+ACI-Albania,AMC+ACI-,0.17455
35557260,+ACI-Albania,AMC+ACI-,0.17455
35557390,+ACI-Albania,AMC+ACI-,0.17455
35557463,+ACI-Albania,AMC+ACI-,0.17455
35557464,+ACI-Albania,AMC+ACI-,0.17455
35557543,+ACI-Albania,AMC+ACI-,0.17455
35557544,+ACI-Albania,AMC+ACI-,0.17455
35557584,+ACI-Albania,AMC+ACI-,0.17455
35557643,+ACI-Albania,AMC+ACI-,0.17455
35557644,+ACI-Albania,AMC+ACI-,0.17455
35557683,+ACI-Albania,AMC+ACI-,0.17455
35557770,+ACI-Albania,AMC+ACI-,0.17455
35557771,+ACI-Albania,AMC+ACI-,0.17455
35557843,+ACI-Albania,AMC+ACI-,0.17455
35557865,+ACI-Albania,AMC+ACI-,0.17455
35557943,+ACI-Albania,AMC+ACI-,0.17455
35557963,+ACI-Albania,AMC+ACI-,0.17455
35557993,+ACI-Albania,AMC+ACI-,0.17455
35558023,+ACI-Albania,AMC+ACI-,0.17455
35558073,+ACI-Albania,AMC+ACI-,0.17455
35558150,+ACI-Albania,AMC+ACI-,0.17455
35558151,+ACI-Albania,AMC+ACI-,0.17455
35558250,+ACI-Albania,AMC+ACI-,0.17455
35558323,+ACI-Albania,AMC+ACI-,0.17455
35558373,+ACI-Albania,AMC+ACI-,0.17455
35558424,+ACI-Albania,AMC+ACI-,0.17455
35558460,+ACI-Albania,AMC+ACI-,0.17455
35558484,+ACI-Albania,AMC+ACI-,0.17455
35558494,+ACI-Albania,AMC+ACI-,0.17455
35558540,+ACI-Albania,AMC+ACI-,0.17455
35558564,+ACI-Albania,AMC+ACI-,0.17455
35558580,+ACI-Albania,AMC+ACI-,0.17455
35558594,+ACI-Albania,AMC+ACI-,0.17455
35558624,+ACI-Albania,AMC+ACI-,0.17455
35558670,+ACI-Albania,AMC+ACI-,0.17455
35558693,+ACI-Albania,AMC+ACI-,0.17455
35558724,+ACI-Albania,AMC+ACI-,0.17455
35558764,+ACI-Albania,AMC+ACI-,0.17455
35558790,+ACI-Albania,AMC+ACI-,0.17455
35558824,+ACI-Albania,AMC+ACI-,0.17455
35558842,+ACI-Albania,AMC+ACI-,0.17455
35558852,+ACI-Albania,AMC+ACI-,0.17455
35558882,+ACI-Albania,AMC+ACI-,0.17455
35558924,+ACI-Albania,AMC+ACI-,0.17455
35558953,+ACI-Albania,AMC+ACI-,0.17455
35558983,+ACI-Albania,AMC+ACI-,0.17455
35559150,+ACI-Albania,AMC+ACI-,0.17455
35559240,+ACI-Albania,AMC+ACI-,0.17455
35559324,+ACI-Albania,AMC+ACI-,0.17455
35559360,+ACI-Albania,AMC+ACI-,0.17455
35559394,+ACI-Albania,AMC+ACI-,0.17455
35559424,+ACI-Albania,AMC+ACI-,0.17455
35559462,+ACI-Albania,AMC+ACI-,0.17455
35559492,+ACI-Albania,AMC+ACI-,0.17455
35559540,+ACI-Albania,AMC+ACI-,0.17455
35559572,+ACI-Albania,AMC+ACI-,0.17455
35559622,+ACI-Albania,AMC+ACI-,0.17455
35559664,+ACI-Albania,AMC+ACI-,0.17455
35559674,+ACI-Albania,AMC+ACI-,0.17455
35559684,+ACI-Albania,AMC+ACI-,0.17455
35559694,+ACI-Albania,AMC+ACI-,0.17455
35559722,+ACI-Albania,AMC+ACI-,0.17455
35559754,+ACI-Albania,AMC+ACI-,0.17455
35559770,+ACI-Albania,AMC+ACI-,0.17455
35559794,+ACI-Albania,AMC+ACI-,0.17455
35572780,+ACI-Albania,AMC+ACI-,0.17455
35581140,+ACI-Albania,AMC+ACI-,0.17455
35581141,+ACI-Albania,AMC+ACI-,0.17455
35581240,+ACI-Albania,AMC+ACI-,0.17455
35581241,+ACI-Albania,AMC+ACI-,0.17455
35581340,+ACI-Albania,AMC+ACI-,0.17455
35581341,+ACI-Albania,AMC+ACI-,0.17455
35581450,+ACI-Albania,AMC+ACI-,0.17455
35581451,+ACI-Albania,AMC+ACI-,0.17455
35581540,+ACI-Albania,AMC+ACI-,0.17455
3558290,+ACI-Albania,AMC+ACI-,0.17455
3558291,+ACI-Albania,AMC+ACI-,0.17455
3558340,+ACI-Albania,AMC+ACI-,0.17455
3558460,+ACI-Albania,AMC+ACI-,0.17455
3558550,+ACI-Albania,AMC+ACI-,0.17455
35586022,+ACI-Albania,AMC+ACI-,0.17455
35586070,+ACI-Albania,AMC+ACI-,0.17455
35586082,+ACI-Albania,AMC+ACI-,0.17455
35586150,+ACI-Albania,AMC+ACI-,0.17455
35586260,+ACI-Albania,AMC+ACI-,0.17455
35586344,+ACI-Albania,AMC+ACI-,0.17455
35586372,+ACI-Albania,AMC+ACI-,0.17455
35586424,+ACI-Albania,AMC+ACI-,0.17455
35586462,+ACI-Albania,AMC+ACI-,0.17455
35586472,+ACI-Albania,AMC+ACI-,0.17455
35586494,+ACI-Albania,AMC+ACI-,0.17455
35586524,+ACI-Albania,AMC+ACI-,0.17455
35586572,+ACI-Albania,AMC+ACI-,0.17455
35586582,+ACI-Albania,AMC+ACI-,0.17455
35586622,+ACI-Albania,AMC+ACI-,0.17455
35586672,+ACI-Albania,AMC+ACI-,0.17455
35586750,+ACI-Albania,AMC+ACI-,0.17455
35586796,+ACI-Albania,AMC+ACI-,0.17455
35586850,+ACI-Albania,AMC+ACI-,0.17455
35586892,+ACI-Albania,AMC+ACI-,0.17455
35586922,+ACI-Albania,AMC+ACI-,0.17455
35586972,+ACI-Albania,AMC+ACI-,0.17455
35587150,+ACI-Albania,AMC+ACI-,0.17455
35587151,+ACI-Albania,AMC+ACI-,0.17455
35587174,+ACI-Albania,AMC+ACI-,0.17455
35587184,+ACI-Albania,AMC+ACI-,0.17455
35587194,+ACI-Albania,AMC+ACI-,0.17455
35587224,+ACI-Albania,AMC+ACI-,0.17455
35587270,+ACI-Albania,AMC+ACI-,0.17455
35587294,+ACI-Albania,AMC+ACI-,0.17455
35587322,+ACI-Albania,AMC+ACI-,0.17455
35587392,+ACI-Albania,AMC+ACI-,0.17455
35587442,+ACI-Albania,AMC+ACI-,0.17455
35587482,+ACI-Albania,AMC+ACI-,0.17455
35587540,+ACI-Albania,AMC+ACI-,0.17455
35587622,+ACI-Albania,AMC+ACI-,0.17455
35587652,+ACI-Albania,AMC+ACI-,0.17455
35587672,+ACI-Albania,AMC+ACI-,0.17455
35587692,+ACI-Albania,AMC+ACI-,0.17455
35587722,+ACI-Albania,AMC+ACI-,0.17455
35587760,+ACI-Albania,AMC+ACI-,0.17455
35587790,+ACI-Albania,AMC+ACI-,0.17455
35588140,+ACI-Albania,AMC+ACI-,0.17455
35588194,+ACI-Albania,AMC+ACI-,0.17455
35588222,+ACI-Albania,AMC+ACI-,0.17455
35588262,+ACI-Albania,AMC+ACI-,0.17455
35588274,+ACI-Albania,AMC+ACI-,0.17455
35588294,+ACI-Albania,AMC+ACI-,0.17455
35588324,+ACI-Albania,AMC+ACI-,0.17455
35588364,+ACI-Albania,AMC+ACI-,0.17455
35588372,+ACI-Albania,AMC+ACI-,0.17455
35588392,+ACI-Albania,AMC+ACI-,0.17455
35588440,+ACI-Albania,AMC+ACI-,0.17455
35588480,+ACI-Albania,AMC+ACI-,0.17455
35588540,+ACI-Albania,AMC+ACI-,0.17455
35588590,+ACI-Albania,AMC+ACI-,0.17455
35588640,+ACI-Albania,AMC+ACI-,0.17455
35588682,+ACI-Albania,AMC+ACI-,0.17455
35588692,+ACI-Albania,AMC+ACI-,0.17455
35588722,+ACI-Albania,AMC+ACI-,0.17455
35588750,+ACI-Albania,AMC+ACI-,0.17455
35588770,+ACI-Albania,AMC+ACI-,0.17455
35588790,+ACI-Albania,AMC+ACI-,0.17455
35589140,+ACI-Albania,AMC+ACI-,0.17455
35589164,+ACI-Albania,AMC+ACI-,0.17455
35589192,+ACI-Albania,AMC+ACI-,0.17455
35589224,+ACI-Albania,AMC+ACI-,0.17455
35589280,+ACI-Albania,AMC+ACI-,0.17455
35589324,+ACI-Albania,AMC+ACI-,0.17455
35589422,+ACI-Albania,AMC+ACI-,0.17455
35589480,+ACI-Albania,AMC+ACI-,0.17455
35589524,+ACI-Albania,AMC+ACI-,0.17455
35589562,+ACI-Albania,AMC+ACI-,0.17455
35589590,+ACI-Albania,AMC+ACI-,0.17455
35542,+ACI-Albania,Tirana+ACI-,0.10595
35543,+ACI-Albania,Tirana+ACI-,0.10595
213,Algeria,0.0475
2136,Algeria Cellular,0.18
21370,Algeria Cellular+AC0-Djezzy,0.219
21376,Algeria Cellular+AC0-Djezzy,0.219
21377,Algeria Cellular+AC0-Djezzy,0.219
213780,Algeria Cellular+AC0-Djezzy,0.219
213781,Algeria Cellular+AC0-Djezzy,0.219
213782,Algeria Cellular+AC0-Djezzy,0.219
213783,Algeria Cellular+AC0-Djezzy,0.219
2137899,Algeria Cellular+AC0-Djezzy,0.219
21379,Algeria Cellular+AC0-Djezzy,0.219
2135,Algeria Cellular+AC0-Wataniya,0.255
21321,+ACI-Algeria,Algiers+ACI-,0.0455
1684,American Samoa,0.02242
16842,American Samoa Cellular,0.029
168473,American Samoa Cellular,0.029
376,Andorra,0.02124
3763,Andorra Cellular,0.1575
3764,Andorra Cellular,0.1575
3765,Andorra Cellular,0.1575
3766,Andorra Cellular,0.1575
244,Angola,0.0535
2449,Angola Cellular,0.05512
24491,Angola Cellular+AC0-Movicell,0.05297
24499,Angola Cellular+AC0-Movicell,0.05297
24492,Angola Cellular+AC0-Unitel,0.05353
24493,Angola Cellular+AC0-Unitel,0.05353
24494,Angola Cellular+AC0-Unitel,0.05353
1264,Anguilla,0.0882
1264235,Anguilla Cellular,0.19436
1264469,Anguilla Cellular,0.19436
1264476,Anguilla Cellular,0.19436
1264536,Anguilla Cellular,0.19436
1264537,Anguilla Cellular,0.19436
1264538,Anguilla Cellular,0.19436
1264539,Anguilla Cellular,0.19436
1264543,Anguilla Cellular,0.19436
126458,Anguilla Cellular,0.19436
1264729,Anguilla Cellular,0.19436
1264772,Anguilla Cellular,0.19436
1264581,Anguilla Cellular+AC0-Digicel,0.19436
1264582,Anguilla Cellular+AC0-Digicel,0.19436
1264583,Anguilla Cellular+AC0-Digicel,0.19436
1264584,Anguilla Cellular+AC0-Digicel,0.19436
672,Antarctica,4.725
6723,+ACI-Antarctica,Norfolk Island+ACI-,0.30545
1268,Antigua,0.11813
1268464,Antigua Cellular,0.1917
1268716,Antigua Cellular,0.1917
1268717,Antigua Cellular,0.1917
1268718,Antigua Cellular,0.1917
1268719,Antigua Cellular,0.1917
126872,Antigua Cellular,0.1917
1268732,Antigua Cellular,0.1917
1268734,Antigua Cellular,0.1917
1268736,Antigua Cellular,0.1917
1268764,Antigua Cellular,0.1917
126877,Antigua Cellular,0.1917
126878,Antigua Cellular,0.1917
1268720,Antigua Cellular+AC0-Digicel,0.1917
1268721,Antigua Cellular+AC0-Digicel,0.1917
1268722,Antigua Cellular+AC0-Digicel,0.1917
1268724,Antigua Cellular+AC0-Digicel,0.1917
1268725,Antigua Cellular+AC0-Digicel,0.1917
1268726,Antigua Cellular+AC0-Digicel,0.1917
1268783,Antigua Cellular+AC0-Digicel,0.1917
1268785,Antigua Cellular+AC0-Digicel,0.1917
1268788,Antigua Cellular+AC0-Digicel,0.1917
54,Argentina,0.02419
549,Argentina Cellular,0.1176
54911,Argentina Cellular+AC0-Buenos Aires,0.07088
54291,+ACI-Argentina,Bahia Blanca+ACI-,0.00945
5411,+ACI-Argentina,Buenos Aires+ACI-,0.008
543489,+ACI-Argentina,Campana+ACI-,0.00945
542293,+ACI-Argentina,Cities+ACI-,0.01013
542302,+ACI-Argentina,Cities+ACI-,0.01013
542362,+ACI-Argentina,Cities+ACI-,0.01013
54237,+ACI-Argentina,Cities+ACI-,0.01013
54332,+ACI-Argentina,Cities+ACI-,0.01013
54343,+ACI-Argentina,Cities+ACI-,0.01013
543461,+ACI-Argentina,Cities+ACI-,0.01013
543462,+ACI-Argentina,Cities+ACI-,0.01013
543464,+ACI-Argentina,Cities+ACI-,0.01013
