All Destinations with 1/1 Billing Cycle except for Mexico (Mexico all with 60/60),,,,
,,,,
,,,,
,,,,
,,,,
Prefix,Destination Name,Rate(USD),Status,Effective From
35583405,Albania Amc Fixed,0.162,New Code,8th June 2013
35583406,Albania Amc Fixed,0.162,New Code,8th June 2013
35583407,Albania Amc Fixed,0.162,New Code,8th June 2013
35583408,Albania Amc Fixed,0.162,New Code,8th June 2013
35583409,Albania Amc Fixed,0.162,New Code,8th June 2013
35521161,Albania Amc Fixed,0.162,New Code,8th June 2013
35521340,Albania Amc Fixed,0.162,New Code,8th June 2013
35521651,Albania Amc Fixed,0.162,New Code,8th June 2013
35521741,Albania Amc Fixed,0.162,New Code,8th June 2013
3552185,Albania Amc Fixed,0.162,New Code,8th June 2013
35521940,Albania Amc Fixed,0.162,New Code,8th June 2013
35522530,Albania Amc Fixed,0.162,New Code,8th June 2013
35522540,Albania Amc Fixed,0.162,New Code,8th June 2013
35524401,Albania Amc Fixed,0.162,New Code,8th June 2013
35524402,Albania Amc Fixed,0.162,New Code,8th June 2013
35524403,Albania Amc Fixed,0.162,New Code,8th June 2013
35524404,Albania Amc Fixed,0.162,New Code,8th June 2013
35524405,Albania Amc Fixed,0.162,New Code,8th June 2013
35524406,Albania Amc Fixed,0.162,New Code,8th June 2013
35524407,Albania Amc Fixed,0.162,New Code,8th June 2013
35524408,Albania Amc Fixed,0.162,New Code,8th June 2013
35524409,Albania Amc Fixed,0.162,New Code,8th June 2013
35526293,Albania Amc Fixed,0.162,New Code,8th June 2013
35526323,Albania Amc Fixed,0.162,New Code,8th June 2013
35526350,Albania Amc Fixed,0.162,New Code,8th June 2013
35526363,Albania Amc Fixed,0.162,New Code,8th June 2013
35526373,Albania Amc Fixed,0.162,New Code,8th June 2013
35526383,Albania Amc Fixed,0.162,New Code,8th June 2013
35526450,Albania Amc Fixed,0.162,New Code,8th June 2013
35526523,Albania Amc Fixed,0.162,New Code,8th June 2013
35526563,Albania Amc Fixed,0.162,New Code,8th June 2013
35526970,Albania Amc Fixed,0.162,New Code,8th June 2013
35526990,Albania Amc Fixed,0.162,New Code,8th June 2013
35527023,Albania Amc Fixed,0.162,New Code,8th June 2013
35527043,Albania Amc Fixed,0.162,New Code,8th June 2013
35527053,Albania Amc Fixed,0.162,New Code,8th June 2013
35527070,Albania Amc Fixed,0.162,New Code,8th June 2013
35527190,Albania Amc Fixed,0.162,New Code,8th June 2013
35527223,Albania Amc Fixed,0.162,New Code,8th June 2013
35527270,Albania Amc Fixed,0.162,New Code,8th June 2013
35527323,Albania Amc Fixed,0.162,New Code,8th June 2013
35527350,Albania Amc Fixed,0.162,New Code,8th June 2013
35527370,Albania Amc Fixed,0.162,New Code,8th June 2013
35527390,Albania Amc Fixed,0.162,New Code,8th June 2013
35527550,Albania Amc Fixed,0.162,New Code,8th June 2013
35527570,Albania Amc Fixed,0.162,New Code,8th June 2013
35527590,Albania Amc Fixed,0.162,New Code,8th June 2013
35527693,Albania Amc Fixed,0.162,New Code,8th June 2013
35527723,Albania Amc Fixed,0.162,New Code,8th June 2013
35527760,Albania Amc Fixed,0.162,New Code,8th June 2013
35527790,Albania Amc Fixed,0.162,New Code,8th June 2013
35527860,Albania Amc Fixed,0.162,New Code,8th June 2013
35527880,Albania Amc Fixed,0.162,New Code,8th June 2013
35527923,Albania Amc Fixed,0.162,New Code,8th June 2013
35527950,Albania Amc Fixed,0.162,New Code,8th June 2013
35527970,Albania Amc Fixed,0.162,New Code,8th June 2013
35527990,Albania Amc Fixed,0.162,New Code,8th June 2013
35528123,Albania Amc Fixed,0.162,New Code,8th June 2013
35528124,Albania Amc Fixed,0.162,New Code,8th June 2013
35528223,Albania Amc Fixed,0.162,New Code,8th June 2013
35528250,Albania Amc Fixed,0.162,New Code,8th June 2013
35528323,Albania Amc Fixed,0.162,New Code,8th June 2013
35528523,Albania Amc Fixed,0.162,New Code,8th June 2013
35528643,Albania Amc Fixed,0.162,New Code,8th June 2013
35528680,Albania Amc Fixed,0.162,New Code,8th June 2013
35528823,Albania Amc Fixed,0.162,New Code,8th June 2013
35528850,Albania Amc Fixed,0.162,New Code,8th June 2013
35528890,Albania Amc Fixed,0.162,New Code,8th June 2013
35528950,Albania Amc Fixed,0.162,New Code,8th June 2013
35528970,Albania Amc Fixed,0.162,New Code,8th June 2013
35528990,Albania Amc Fixed,0.162,New Code,8th June 2013
35529190,Albania Amc Fixed,0.162,New Code,8th June 2013
35529340,Albania Amc Fixed,0.162,New Code,8th June 2013
35529390,Albania Amc Fixed,0.162,New Code,8th June 2013
35529423,Albania Amc Fixed,0.162,New Code,8th June 2013
35529460,Albania Amc Fixed,0.162,New Code,8th June 2013
35529490,Albania Amc Fixed,0.162,New Code,8th June 2013
35529523,Albania Amc Fixed,0.162,New Code,8th June 2013
35529550,Albania Amc Fixed,0.162,New Code,8th June 2013
35529570,Albania Amc Fixed,0.162,New Code,8th June 2013
35529623,Albania Amc Fixed,0.162,New Code,8th June 2013
35529650,Albania Amc Fixed,0.162,New Code,8th June 2013
35529750,Albania Amc Fixed,0.162,New Code,8th June 2013
35529763,Albania Amc Fixed,0.162,New Code,8th June 2013
35529780,Albania Amc Fixed,0.162,New Code,8th June 2013
35531151,Albania Amc Fixed,0.162,New Code,8th June 2013
35531250,Albania Amc Fixed,0.162,New Code,8th June 2013
35531351,Albania Amc Fixed,0.162,New Code,8th June 2013
3553270,Albania Amc Fixed,0.162,New Code,8th June 2013
3553350,Albania Amc Fixed,0.162,New Code,8th June 2013
3553351,Albania Amc Fixed,0.162,New Code,8th June 2013
3553490,Albania Amc Fixed,0.162,New Code,8th June 2013
3553491,Albania Amc Fixed,0.162,New Code,8th June 2013
3553560,Albania Amc Fixed,0.162,New Code,8th June 2013
35536023,Albania Amc Fixed,0.162,New Code,8th June 2013
35536043,Albania Amc Fixed,0.162,New Code,8th June 2013
35536063,Albania Amc Fixed,0.162,New Code,8th June 2013
35536073,Albania Amc Fixed,0.162,New Code,8th June 2013
35536090,Albania Amc Fixed,0.162,New Code,8th June 2013
35536240,Albania Amc Fixed,0.162,New Code,8th June 2013
35536380,Albania Amc Fixed,0.162,New Code,8th June 2013
35536440,Albania Amc Fixed,0.162,New Code,8th June 2013
35536480,Albania Amc Fixed,0.162,New Code,8th June 2013
35536540,Albania Amc Fixed,0.162,New Code,8th June 2013
35536640,Albania Amc Fixed,0.162,New Code,8th June 2013
35536740,Albania Amc Fixed,0.162,New Code,8th June 2013
35536770,Albania Amc Fixed,0.162,New Code,8th June 2013
35536840,Albania Amc Fixed,0.162,New Code,8th June 2013
35536890,Albania Amc Fixed,0.162,New Code,8th June 2013
35536923,Albania Amc Fixed,0.162,New Code,8th June 2013
35536993,Albania Amc Fixed,0.162,New Code,8th June 2013
35537141,Albania Amc Fixed,0.162,New Code,8th June 2013
35537223,Albania Amc Fixed,0.162,New Code,8th June 2013
35537263,Albania Amc Fixed,0.162,New Code,8th June 2013
35537283,Albania Amc Fixed,0.162,New Code,8th June 2013
35537293,Albania Amc Fixed,0.162,New Code,8th June 2013
35537340,Albania Amc Fixed,0.162,New Code,8th June 2013
35537370,Albania Amc Fixed,0.162,New Code,8th June 2013
35537393,Albania Amc Fixed,0.162,New Code,8th June 2013
35537490,Albania Amc Fixed,0.162,New Code,8th June 2013
35537494,Albania Amc Fixed,0.162,New Code,8th June 2013
35537523,Albania Amc Fixed,0.162,New Code,8th June 2013
35537563,Albania Amc Fixed,0.162,New Code,8th June 2013
35537590,Albania Amc Fixed,0.162,New Code,8th June 2013
35537623,Albania Amc Fixed,0.162,New Code,8th June 2013
35537680,Albania Amc Fixed,0.162,New Code,8th June 2013
35537740,Albania Amc Fixed,0.162,New Code,8th June 2013
35537773,Albania Amc Fixed,0.162,New Code,8th June 2013
35537790,Albania Amc Fixed,0.162,New Code,8th June 2013
35537823,Albania Amc Fixed,0.162,New Code,8th June 2013
35537843,Albania Amc Fixed,0.162,New Code,8th June 2013
35537890,Albania Amc Fixed,0.162,New Code,8th June 2013
35538151,Albania Amc Fixed,0.162,New Code,8th June 2013
35538152,Albania Amc Fixed,0.162,New Code,8th June 2013
35538240,Albania Amc Fixed,0.162,New Code,8th June 2013
35538241,Albania Amc Fixed,0.162,New Code,8th June 2013
35538350,Albania Amc Fixed,0.162,New Code,8th June 2013
35538423,Albania Amc Fixed,0.162,New Code,8th June 2013
35538470,Albania Amc Fixed,0.162,New Code,8th June 2013
35538523,Albania Amc Fixed,0.162,New Code,8th June 2013
35538593,Albania Amc Fixed,0.162,New Code,8th June 2013
35538650,Albania Amc Fixed,0.162,New Code,8th June 2013
35538680,Albania Amc Fixed,0.162,New Code,8th June 2013
35538693,Albania Amc Fixed,0.162,New Code,8th June 2013
35538725,Albania Amc Fixed,0.162,New Code,8th June 2013
35538790,Albania Amc Fixed,0.162,New Code,8th June 2013
35538850,Albania Amc Fixed,0.162,New Code,8th June 2013
35538923,Albania Amc Fixed,0.162,New Code,8th June 2013
35538940,Albania Amc Fixed,0.162,New Code,8th June 2013
35538980,Albania Amc Fixed,0.162,New Code,8th June 2013
35539150,Albania Amc Fixed,0.162,New Code,8th June 2013
35539151,Albania Amc Fixed,0.162,New Code,8th June 2013
35539240,Albania Amc Fixed,0.162,New Code,8th June 2013
35539241,Albania Amc Fixed,0.162,New Code,8th June 2013
35539360,Albania Amc Fixed,0.162,New Code,8th June 2013
35539361,Albania Amc Fixed,0.162,New Code,8th June 2013
35539560,Albania Amc Fixed,0.162,New Code,8th June 2013
35539640,Albania Amc Fixed,0.162,New Code,8th June 2013
35539690,Albania Amc Fixed,0.162,New Code,8th June 2013
35539740,Albania Amc Fixed,0.162,New Code,8th June 2013
35539790,Albania Amc Fixed,0.162,New Code,8th June 2013
35539823,Albania Amc Fixed,0.162,New Code,8th June 2013
35539850,Albania Amc Fixed,0.162,New Code,8th June 2013
35539880,Albania Amc Fixed,0.162,New Code,8th June 2013
35546300,Albania Amc Fixed,0.162,New Code,8th June 2013
35546310,Albania Amc Fixed,0.162,New Code,8th June 2013
35546320,Albania Amc Fixed,0.162,New Code,8th June 2013
35546330,Albania Amc Fixed,0.162,New Code,8th June 2013
35547950,Albania Amc Fixed,0.162,New Code,8th June 2013
35548271,Albania Amc Fixed,0.162,New Code,8th June 2013
35548272,Albania Amc Fixed,0.162,New Code,8th June 2013
35548750,Albania Amc Fixed,0.162,New Code,8th June 2013
35548935,Albania Amc Fixed,0.162,New Code,8th June 2013
35548936,Albania Amc Fixed,0.162,New Code,8th June 2013
35549250,Albania Amc Fixed,0.162,New Code,8th June 2013
35549560,Albania Amc Fixed,0.162,New Code,8th June 2013
35549730,Albania Amc Fixed,0.162,New Code,8th June 2013
35549830,Albania Amc Fixed,0.162,New Code,8th June 2013
3555114,Albania Amc Fixed,0.162,New Code,8th June 2013
35551241,Albania Amc Fixed,0.162,New Code,8th June 2013
35551360,Albania Amc Fixed,0.162,New Code,8th June 2013
35551361,Albania Amc Fixed,0.162,New Code,8th June 2013
35551460,Albania Amc Fixed,0.162,New Code,8th June 2013
35551461,Albania Amc Fixed,0.162,New Code,8th June 2013
3555264,Albania Amc Fixed,0.162,New Code,8th June 2013
3555370,Albania Amc Fixed,0.162,New Code,8th June 2013
3555490,Albania Amc Fixed,0.162,New Code,8th June 2013
3555491,Albania Amc Fixed,0.162,New Code,8th June 2013
3555540,Albania Amc Fixed,0.162,New Code,8th June 2013
35556150,Albania Amc Fixed,0.162,New Code,8th June 2013
35556240,Albania Amc Fixed,0.162,New Code,8th June 2013
35556293,Albania Amc Fixed,0.162,New Code,8th June 2013
35556340,Albania Amc Fixed,0.162,New Code,8th June 2013
35556445,Albania Amc Fixed,0.162,New Code,8th June 2013
35556465,Albania Amc Fixed,0.162,New Code,8th June 2013
35556550,Albania Amc Fixed,0.162,New Code,8th June 2013
35556583,Albania Amc Fixed,0.162,New Code,8th June 2013
35557043,Albania Amc Fixed,0.162,New Code,8th June 2013
35557070,Albania Amc Fixed,0.162,New Code,8th June 2013
35557094,Albania Amc Fixed,0.162,New Code,8th June 2013
35557464,Albania Amc Fixed,0.162,New Code,8th June 2013
35557544,Albania Amc Fixed,0.162,New Code,8th June 2013
35557644,Albania Amc Fixed,0.162,New Code,8th June 2013
35557771,Albania Amc Fixed,0.162,New Code,8th June 2013
35557843,Albania Amc Fixed,0.162,New Code,8th June 2013
35557943,Albania Amc Fixed,0.162,New Code,8th June 2013
35557963,Albania Amc Fixed,0.162,New Code,8th June 2013
35558023,Albania Amc Fixed,0.162,New Code,8th June 2013
35558073,Albania Amc Fixed,0.162,New Code,8th June 2013
35558151,Albania Amc Fixed,0.162,New Code,8th June 2013
35558250,Albania Amc Fixed,0.162,New Code,8th June 2013
35558323,Albania Amc Fixed,0.162,New Code,8th June 2013
35558373,Albania Amc Fixed,0.162,New Code,8th June 2013
35558424,Albania Amc Fixed,0.162,New Code,8th June 2013
35558460,Albania Amc Fixed,0.162,New Code,8th June 2013
35558484,Albania Amc Fixed,0.162,New Code,8th June 2013
35558494,Albania Amc Fixed,0.162,New Code,8th June 2013
35558540,Albania Amc Fixed,0.162,New Code,8th June 2013
35558564,Albania Amc Fixed,0.162,New Code,8th June 2013
35558594,Albania Amc Fixed,0.162,New Code,8th June 2013
35558624,Albania Amc Fixed,0.162,New Code,8th June 2013
35558670,Albania Amc Fixed,0.162,New Code,8th June 2013
35558693,Albania Amc Fixed,0.162,New Code,8th June 2013
35558724,Albania Amc Fixed,0.162,New Code,8th June 2013
35558764,Albania Amc Fixed,0.162,New Code,8th June 2013
35558790,Albania Amc Fixed,0.162,New Code,8th June 2013
35558824,Albania Amc Fixed,0.162,New Code,8th June 2013
35558842,Albania Amc Fixed,0.162,New Code,8th June 2013
35558882,Albania Amc Fixed,0.162,New Code,8th June 2013
35558924,Albania Amc Fixed,0.162,New Code,8th June 2013
35558983,Albania Amc Fixed,0.162,New Code,8th June 2013
35559150,Albania Amc Fixed,0.162,New Code,8th June 2013
35559240,Albania Amc Fixed,0.162,New Code,8th June 2013
35559324,Albania Amc Fixed,0.162,New Code,8th June 2013
35559360,Albania Amc Fixed,0.162,New Code,8th June 2013
35559394,Albania Amc Fixed,0.162,New Code,8th June 2013
35559424,Albania Amc Fixed,0.162,New Code,8th June 2013
35559462,Albania Amc Fixed,0.162,New Code,8th June 2013
35559492,Albania Amc Fixed,0.162,New Code,8th June 2013
35559540,Albania Amc Fixed,0.162,New Code,8th June 2013
35559572,Albania Amc Fixed,0.162,New Code,8th June 2013
35559622,Albania Amc Fixed,0.162,New Code,8th June 2013
35559664,Albania Amc Fixed,0.162,New Code,8th June 2013
35559674,Albania Amc Fixed,0.162,New Code,8th June 2013
35559684,Albania Amc Fixed,0.162,New Code,8th June 2013
35559694,Albania Amc Fixed,0.162,New Code,8th June 2013
35559722,Albania Amc Fixed,0.162,New Code,8th June 2013
35559754,Albania Amc Fixed,0.162,New Code,8th June 2013
35559770,Albania Amc Fixed,0.162,New Code,8th June 2013
35559794,Albania Amc Fixed,0.162,New Code,8th June 2013
35572780,Albania Amc Fixed,0.162,New Code,8th June 2013
35581140,Albania Amc Fixed,0.162,New Code,8th June 2013
35581141,Albania Amc Fixed,0.162,New Code,8th June 2013
35581240,Albania Amc Fixed,0.162,New Code,8th June 2013
35581241,Albania Amc Fixed,0.162,New Code,8th June 2013
35581340,Albania Amc Fixed,0.162,New Code,8th June 2013
35581341,Albania Amc Fixed,0.162,New Code,8th June 2013
35581450,Albania Amc Fixed,0.162,New Code,8th June 2013
35581451,Albania Amc Fixed,0.162,New Code,8th June 2013
35581540,Albania Amc Fixed,0.162,New Code,8th June 2013
3558460,Albania Amc Fixed,0.162,New Code,8th June 2013
3558550,Albania Amc Fixed,0.162,New Code,8th June 2013
35586022,Albania Amc Fixed,0.162,New Code,8th June 2013
35586070,Albania Amc Fixed,0.162,New Code,8th June 2013
35586082,Albania Amc Fixed,0.162,New Code,8th June 2013
35586150,Albania Amc Fixed,0.162,New Code,8th June 2013
35586424,Albania Amc Fixed,0.162,New Code,8th June 2013
35586462,Albania Amc Fixed,0.162,New Code,8th June 2013
35586494,Albania Amc Fixed,0.162,New Code,8th June 2013
35586524,Albania Amc Fixed,0.162,New Code,8th June 2013
35586572,Albania Amc Fixed,0.162,New Code,8th June 2013
35586582,Albania Amc Fixed,0.162,New Code,8th June 2013
35586796,Albania Amc Fixed,0.162,New Code,8th June 2013
35586850,Albania Amc Fixed,0.162,New Code,8th June 2013
35586892,Albania Amc Fixed,0.162,New Code,8th June 2013
35586922,Albania Amc Fixed,0.162,New Code,8th June 2013
35586972,Albania Amc Fixed,0.162,New Code,8th June 2013
35587150,Albania Amc Fixed,0.162,New Code,8th June 2013
35587151,Albania Amc Fixed,0.162,New Code,8th June 2013
35587174,Albania Amc Fixed,0.162,New Code,8th June 2013
35587184,Albania Amc Fixed,0.162,New Code,8th June 2013
35587194,Albania Amc Fixed,0.162,New Code,8th June 2013
35587270,Albania Amc Fixed,0.162,New Code,8th June 2013
35587294,Albania Amc Fixed,0.162,New Code,8th June 2013
35587322,Albania Amc Fixed,0.162,New Code,8th June 2013
35587442,Albania Amc Fixed,0.162,New Code,8th June 2013
35587482,Albania Amc Fixed,0.162,New Code,8th June 2013
35587540,Albania Amc Fixed,0.162,New Code,8th June 2013
35587622,Albania Amc Fixed,0.162,New Code,8th June 2013
35587652,Albania Amc Fixed,0.162,New Code,8th June 2013
35587672,Albania Amc Fixed,0.162,New Code,8th June 2013
35587692,Albania Amc Fixed,0.162,New Code,8th June 2013
35587722,Albania Amc Fixed,0.162,New Code,8th June 2013
35587760,Albania Amc Fixed,0.162,New Code,8th June 2013
35588140,Albania Amc Fixed,0.162,New Code,8th June 2013
35588194,Albania Amc Fixed,0.162,New Code,8th June 2013
35588262,Albania Amc Fixed,0.162,New Code,8th June 2013
35588274,Albania Amc Fixed,0.162,New Code,8th June 2013
35588294,Albania Amc Fixed,0.162,New Code,8th June 2013
35588324,Albania Amc Fixed,0.162,New Code,8th June 2013
35588364,Albania Amc Fixed,0.162,New Code,8th June 2013
35588392,Albania Amc Fixed,0.162,New Code,8th June 2013
35588440,Albania Amc Fixed,0.162,New Code,8th June 2013
35588480,Albania Amc Fixed,0.162,New Code,8th June 2013
35588540,Albania Amc Fixed,0.162,New Code,8th June 2013
35588590,Albania Amc Fixed,0.162,New Code,8th June 2013
35588640,Albania Amc Fixed,0.162,New Code,8th June 2013
35588682,Albania Amc Fixed,0.162,New Code,8th June 2013
35588692,Albania Amc Fixed,0.162,New Code,8th June 2013
35588722,Albania Amc Fixed,0.162,New Code,8th June 2013
